Race and Ethnicity 2
ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,293,"Temecula, CA",16000US0678120,temecula-ca,488,0.0046496117383640600
3,Asian Alone,0,Not Hispanic or Latino,2014,2014,1198,"Temecula, CA",16000US0678120,temecula-ca,10419,0.099271116192654
3,Asian Alone,1,Hispanic or Latino,2014,2014,190,"Temecula, CA",16000US0678120,temecula-ca,321,0.0030584536229812800
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2014,2014,198,"Temecula, CA",16000US0678120,temecula-ca,404,0.0038492687342194300
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2014,2014,41,"Temecula, CA",16000US0678120,temecula-ca,27,0.00025725310847506100
5,Some Other Race Alone,0,Not Hispanic or Latino,2014,2014,155,"Temecula, CA",16000US0678120,temecula-ca,262,0.0024963079414987400
5,Some Other Race Alone,1,Hispanic or Latino,2014,2014,1189,"Temecula, CA",16000US0678120,temecula-ca,5147,0.04904006478967180
6,Two or More Races,0,Not Hispanic or Latino,2014,2014,711.2081270626770,"Temecula, CA",16000US0678120,temecula-ca,4380,0.04173217093039870
6,Two or More Races,1,Hispanic or Latino,2014,2014,507.30365660026500,"Temecula, CA",16000US0678120,temecula-ca,2265,0.02158067743318570
0,White Alone,0,Not Hispanic or Latino,2013,2013,1661,"Temecula, CA",16000US0678120,temecula-ca,56506,0.550713902831246
0,White Alone,1,Hispanic or Latino,2013,2013,1390,"Temecula, CA",16000US0678120,temecula-ca,16810,0.16383217192144600
1,Black or African American Alone,0,Not Hispanic or Latino,2013,2013,664,"Temecula, CA",16000US0678120,temecula-ca,3606,0.03514448613615320
1,Black or African American Alone,1,Hispanic or Latino,2013,2013,252.00000000000000,"Temecula, CA",16000US0678120,temecula-ca,364,0.0035475854003216200
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2013,2013,739,"Temecula, CA",16000US0678120,temecula-ca,1678,0.01635397885093320
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2013,2013,291,"Temecula, CA",16000US0678120,temecula-ca,615,0.005993859948345600
3,Asian Alone,0,Not Hispanic or Latino,2013,2013,1118,"Temecula, CA",16000US0678120,temecula-ca,9673,0.09427415817942600
3,Asian Alone,1,Hispanic or Latino,2013,2013,190,"Temecula, CA",16000US0678120,temecula-ca,291,0.002836119097509870
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2013,2013,204,"Temecula, CA",16000US0678120,temecula-ca,386,0.0037619999025388600
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2013,2013,46,"Temecula, CA",16000US0678120,temecula-ca,38,0.0003703523220115980
5,Some Other Race Alone,0,Not Hispanic or Latino,2013,2013,200,"Temecula, CA",16000US0678120,temecula-ca,246,0.002397543979338240
5,Some Other Race Alone,1,Hispanic or Latino,2013,2013,1022.0000000000000,"Temecula, CA",16000US0678120,temecula-ca,5097,0.04967594171823990
6,Two or More Races,0,Not Hispanic or Latino,2013,2013,905.8747153994310,"Temecula, CA",16000US0678120,temecula-ca,4959,0.04833097802251350
6,Two or More Races,1,Hispanic or Latino,2013,2013,534.6045267298060,"Temecula, CA",16000US0678120,temecula-ca,2336,0.02276692168997610
